Doctor Name,Experience,Speciality,Fees,Rating,Locality,City
Dr. Bhupendra S Avasthi,43,Pediatrician,2000,93% ,Santacruz West,Mumbai
Dr. Shobha Sharma,44,Pediatrician,1500,50% ,Santacruz West,Mumbai
Dr. Vilas Kulkarni,53,Pediatrician,1000,97% ,Andheri West,Mumbai
Dr. Manoj S Thamke,21,Pediatrician,700,100% ,Mulund East,Mumbai
Dr. Neil Castellino,14,Pediatrician,1500,100% ,Santacruz West,Mumbai
Dr. Yuvaraja S Shetty,18,Pediatrician,1000,99% ,Mulund West,Mumbai
Dr. Sujata Chitnis,42,Pediatrician,1000,100% ,Vileparle East,Mumbai
Dr. Yogesh P Mehta,38,Pediatrician,1000,99% ,Ghatkopar West,Mumbai
Dr. Shilpa Nayak,20,Pediatrician,1500,97% ,Andheri West,Mumbai
Dr. Sonal S. Saste,15,Pediatrician,2200,87% ,Santacruz West,Mumbai
Dr. Manoj S Thamke,21,Pediatrician,700,100% ,Mulund East,Mumbai
Dr. Mili S. Joshi,26,Pediatrician,1000,97% ,Santacruz East,Mumbai
Dr. Sujata Chitnis,42,Pediatrician,1000,100% ,Vileparle East,Mumbai
Dr. Vilas Kulkarni,53,Pediatrician,1000,97% ,Andheri West,Mumbai
Dr. Zinal,25,Pediatrician,2000,98% ,Andheri West,Mumbai
Dr. Indu Khosla,35,Pediatrician,1000,99% ,Malad West,Mumbai
Dr. Anupama M Gupta,13,Pediatrician,1000,100% ,Chembur,Mumbai
Dr. Rajashri Shanbhag,27,Pediatrician,800,100% ,Jogeshwari East,Mumbai
Dr. Alpa Shah,28,Pediatrician,1000,94% ,Govandi,Mumbai
Dr. Bhupendra S Avasthi,43,Pediatrician,2000,93% ,Santacruz West,Mumbai
Dr. Mili S. Joshi,26,Pediatrician,1000,97% ,Santacruz East,Mumbai
Dr. Indu Khosla,35,Pediatrician,1000,99% ,Malad West,Mumbai
Dr. Tanushri Mukherjee,17,Pediatrician,1000,91% ,Malad West,Mumbai
Dr. Mona Gajre,27,Pediatrician,1600,100% ,Powai,Mumbai
Dr. Vishal Parmar,13,Pediatrician,900,100% ,Mira Road,Mumbai
Dr. Badshah Khan,21,Pediatrician,900,97% ,Mira Road,Mumbai
Dr. Vipul Mehrotra,29,Pediatrician,1500,98% ,Andheri East,Mumbai
Dr. Sanjeev Ahuja,27,Pediatrician,1100,86% ,Powai,Mumbai
Dr. Udani Amish,20,Pediatrician,1250,100% ,Malad West,Mumbai
Dr. Piyush Sureshkumar Shah,18,Pediatrician,1000,98% ,Malad West,Mumbai
Dr. Vibhor Borkar,17,Pediatrician,800,100% ,Tardeo,Mumbai
Dr. Ankit Gupta,15,Pediatrician,1000,86% ,Mira Road,Mumbai
Dr. Nandkishor S. Kabra,25,Pediatrician,1500,100% ,Santacruz West,Mumbai
Dr. Abhinav Tiwari,12,Pediatrician,900,99% ,Powai,Mumbai
Dr. Zinal,25,Pediatrician,2000,98% ,Andheri West,Mumbai
Dr. Bijal Pradip,27,Pediatrician,1300,75% ,Powai,Mumbai
Dr. Prashant Gandhi,28,Pediatrician,600,94% ,Borivali,Mumbai
Dr. Vaidehi Dande,19,Pediatrician,1200,100% ,Prabhadevi,Mumbai
Dr. Alpa Shah,28,Pediatrician,1000,94% ,Govandi,Mumbai
Dr. Vinay H Joshi,26,Pediatrician,1000,100% ,Malad West,Mumbai
Dr. Shivkumar G. Lalwani,30,Pediatrician,1000,100% ,Powai,Mumbai
Dr. Saurabh Gandhi,8,Pediatrician,1200,100% ,Santacruz West,Mumbai
Dr. Anupama M Gupta,13,Pediatrician,1000,100% ,Chembur,Mumbai
Dr. Madhuri kadam,20,Pediatrician,1000,98% ,Goregaon West,Mumbai
Dr. Vaishali Prasad,8,Pediatric Dentist,800,83% ,Powai,Mumbai
Dr. Devang Shah,22,Pediatric Dentist,700,97% ,Kandivali West,Mumbai
Dr. Vivian Varghese,13,Pediatric Dentist,300,100% ,Borivali West,Mumbai
Dr. Nisha Jain,12,Pediatric Dentist,300,95% ,Mazgaon,Mumbai
Dr. Khushboo Sehgal Chablani,13,Pediatric Dentist,500,99% ,Bandra West,Mumbai
Dr. Sheena Soni,16,Pediatric Dentist,1000,96% ,Colaba,Mumbai
Dr. Jyoti Magoo,9,Pediatric Dentist,500,99% ,Goregaon East,Mumbai
Dr. Hiral Shah,12,Pediatric Dentist,500,99% ,Ghatkopar East,Mumbai
Dr. Sonal K Shah,14,Pediatric Dentist,500,100% ,JB Nagar,Mumbai
Dr. Gautami Sharangpani,13,Pediatric Dentist,500,96% ,Kandivali East,Mumbai
Dr. Kapil Jain,10,Pediatric Dentist,600,100% ,Borivali West,Mumbai
Dr. Iti Garg,16,Pediatric Dentist,500,100% ,Wadala,Mumbai
Dr. Anuj Shah,10,Pediatric Dentist,500,100% ,Malad,Mumbai
Dr. Rachayta Parikh Gala,12,Pediatric Dentist,500,97% ,Vileparle West,Mumbai
Dr. Arjav Beswal,13,Pediatric Dentist,500,100% ,Chembur East,Mumbai
Dr. Chetana Bindrani,12,Pediatric Dentist,1000,96% ,Santacruz West,Mumbai
Dr. Bhavesh D. Rusawat,13,Pediatric Dentist,500,99% ,Borivali West,Mumbai
Dr. Mihir Shah,13,Pediatric Dentist,500,100% ,Malad West,Mumbai
Dr. Jayna Gandhi,14,Pediatric Dentist,500,92% ,Goregaon East,Mumbai
Dr. Nimitt,12,Pediatric Dentist,600,84% ,Mulund West,Mumbai
Dr. Chetan Bhat,22,Pediatric Dentist,3000,98% ,Charni Road,Mumbai
Dr. Viral Maru,17,Pediatric Dentist,1000,100% ,Girgaon,Mumbai
Dr. Resham Vasani Bhojani,37,Pediatric Dermatologist,2000,99% ,Matunga,Mumbai
Dr. Jolly Shah Kapadia,24,Pediatric Dermatologist,1700,95% ,Mulund West,Mumbai
Dr. Sejal Saheta,24,Pediatric Dermatologist,1000,95% ,Powai,Mumbai
Dr. Prachi Saraogi,19,Pediatric Dermatologist,1000,99% ,Malad East,Mumbai
Dr. Ganesh Avhad,15,Pediatric Dermatologist,900,98% ,Sion,Mumbai
Dr. Shubhangi Mahajan,15,Pediatric Dermatologist,800,99% ,Parel,Mumbai
Dr. Priyanka S Jain,13,Pediatric Dermatologist,1000,98% ,Sion,Mumbai
