Doctor Name,Experience,Speciality,Fees,Rating,Locality,City
Dr. Reshma Phulwar,27,Dentist,500,96% ,Chembur,Mumbai
Dr. Parag M. Khatri,30,Dentist,500,99% ,Andheri East,Mumbai
Dr. Sanket Mehta,18,Dentist,500,99% ,Matunga,Mumbai
Dr. Manoj Bodhwani,17,Dentist,700,98% ,Khar West,Mumbai
Dr. Rajesh Shetty,27,Dentist,1000,98% ,Bandra West,Mumbai
Dr. Gautam Laud,25,Dentist,1000,98% ,Kemps Corner,Mumbai
Dr. Manish Kachhara,21,Dentist,500,99% ,Ghatkopar East,Mumbai
Dr. Deepali Bhanushali,16,Dentist,500,98% ,Ghatkopar,Mumbai
Dr. Manish S. Sonawane,18,Dentist,500,98% ,Lokhandwala,Mumbai
Dr. Manisha Mehta,17,Dentist,500,98% ,Worli,Mumbai
Dr. Jatin Ashar,14,Ophthalmologist,1000,96% ,Ghatkopar,Mumbai
Dr. Siddharth Relan,25,Ophthalmologist,500,100% ,Malad West,Mumbai
Dr. Ayush Sharma,15,Spine Surgeon,1500,91% ,Wadala,Mumbai
Dr. Varun Sanjay Gunavanthe,18,Urologist,2000,97% ,Vileparle West,Mumbai
Dr. Mihir Patel,18,Orthopedist,2000,100% ,Vileparle West,Mumbai
Dr. Aditi Agrawal,18,General Surgeon,800,97% ,Borivali West,Mumbai
Dr. Ankesh Sahetya,15,Gynecologist/Obstetrician,1200,100% ,Andheri West,Mumbai
Dr. Rikesh Singh,16,General Surgeon,1000,100% ,Jogeshwari West,Mumbai
Dr. Ranjan Burnwal,14,Orthopedist,1200,100% ,Chembur,Mumbai
Dr. Swapnil Tople,15,Urologist,1500,89% ,Wadala,Mumbai
Dr. R K Deshpande,41,General Surgeon,4000,98% ,Kemps Corner,Mumbai
Dr. Nasreen Gite,16,Urologist,1500,100% ,Chembur,Mumbai
Dr. Sachin Pahade,22,Urologist,1500,100% ,Goregaon West,Mumbai
Dr. Niraj B. Singh,19,General Surgeon,1000,100% ,Borivali West,Mumbai
Dr. M T Khan,15,Orthopedist,1200,100% ,Chembur,Mumbai
Dr. Samir Parekh,20,Spine Surgeon,1500,100% ,Kandivali,Mumbai
Dr. Pankaj Gandhi,22,General Surgeon,1000,100% ,Goregaon West,Mumbai
Dr. Sanjay Sharma,47,General Surgeon,4000,80% ,Kemps Corner,Mumbai
Dr. Kulkarni Jagadeesh Narharrao,51,Urologist,5000,100% ,Kemps Corner,Mumbai
Dr. Siddharth V. Nachane,15,General Surgeon,1500,100% ,Wadala,Mumbai
Dr. Pradnya Roy,23,Gynecologist/Obstetrician,1000,100% ,Jogeshwari West,Mumbai
Dr. Sachin Bhat,25,Orthopedist,1500,100% ,Goregaon West,Mumbai
Dr. Umesh Shetty,33,Orthopedist,1500,83% ,Andheri West,Mumbai
Dr. Amit Aroskar,24,Ayurveda,800,100% ,Borivali West,Mumbai
Dr. Nikhil Surana,14,Dentist,500,97% ,Kandivali East,Mumbai
Dr. Laxman Salve,22,General Surgeon,2000,99% ,Chembur,Mumbai
Dr. Suhani Talesara,14,Dentist,500,100% ,Jogeshwari,Mumbai
